player,playerid,strike
PaNcAkEs,76561199076282955,1
cemenpodtazkin,76561199688130759,2
DtotheV2,76561199812446587,1
*KURWA*,76561199798639547,2
tjayisafag,76561198122708485,1
westdw19,76561199811089833,1
jaydrector,76561199249008993,1
Ego,76561199189240656,1
Splixsy,76561199506983617,5
Nados12264,76561199146325252,5
obema0081,76561199826272505,1
УГАР 2010,76561198258677124,4
corbin.brailsford201,76561199216032541,1
Brownie,76561199696272343,1
DEMKA,76561199205439626,1
Mrooq,76561198053923668,1
Sane,76561199489125756,1
QuantumBob,76561199377505303,1
rmjw71293,76561198823230791,1
OwenHobart2011,76561199216210866,1
dsh01355,76561199364433812,1
obro0404,76561199500481940,8
Chinook24,76561199209980297,1
Cookzie95,76561199427429618,1
GamerRoad,76561199214567645,1
BloonsCraft2,76561199699647400,1
doofusdingleberry1,76561199854645245,1
UltimateAdv,76561198053108811,1
Farmer Chad,76561199203350276,1
SirNefarious,76561198887122308,1
DJCtheplayer,76561198989659451,2
Greg,76561199019351651,1
taterf26,76561198259681529,1
cryulu,76561199655186289,1
Colt Seavers,76561199229821309,1
The Holy Hotdog,76561198817279489,3
Cowboysteve_45,76561199032219454,2
Yuuri |GLT| ✙.,76561199132473669,2
Gamer pro 15,76561199058509309,5
nas,76561199179847043,1
1Zoned,76561198383254958,1
inqsyd,76561199172595327,1
lint28,76561198140676332,2
raptordkp,76561199374677779,1
Furxanix,76561199794297391,1
toates1304,76561199589447969,2
trans706,76561199664511671,3
beagle.witdadeagle,76561198331833891,1
gbyrne.a350380,76561199862426569,1
Deadzone212,76561199871023925,1
PetKaSETAR2006,76561199091434309,1
Cyber_head1,76561199809729361,1
4ida,76561198035833476,2
Hudi1972,76561199861676333,2
StoNE,76561198068675558,2
170cm v potoke,76561199136315323,1
Nukem,76561198376303788,1
Fufelshmerc,76561199443393885,1
Furry_Kemono,76561199136515115,1
Irbis063(RU),76561199050430871,2
sasha.evminov2525,76561199861424316,2
هيمورسالدЫ,76561199367134096,1
nuggiesaredebest,76561199546553163,2
sur226,76561198843105220,2
smesharik,76561199645620528,3
Prime,76561199542917852,1
RadGoodNow,76561199203207234,1
ladismanthwaites,76561199853607113,1
Amadowns,76561198259077135,1
thehuntsman,76561198447184425,1
drake.ashton-bamfiel,76561199567085282,1
big boi,76561199133209064,1
ブラックホーク,76561199585355065,5
Norfolks,76561199088725516,1
poot jet1321,76561199003534988,3
frasergamer14,76561199584938806,1
Rush2,76561199223794505,3
Scooter,76561199754296491,6
Rex,76561199369967015,1
Bestia,76561198061987392,2
RedWyvern214,76561199252894703,1
Vos1c,76561198012066588,1
urwrstnightmare8,76561199831769165,2
ZeroSugar,76561198977443159,1
lucasobm2013,76561199387803428,2
maxwell,76561198973913145,1
timmer3911,76561198048058419,1
allir,76561199191463603,3
Arthras,76561198199250403,1
hilarious goober 73,76561199240771514,1
GRID,76561199527293797,1
SueLiz19,76561198877956957,1
crittle,76561199244809647,1
nieshaco,76561199071503787,1
Ennard,76561199014626144,1
Ciniminis,76561198835505266,1
Titanic2,76561199198770139,3
Friaster,76561199080434711,1
nathan.h08,76561199590883631,1
lukedeangelo84,76561199126980804,3
GUNBUNZ,76561199479187012,1
Nazard-1 1/3\',76561199234137398,1
mong0l/5am5ers,76561199537681425,3
_MattTM_,76561199032223005,3
brazyBraiden,76561199521074847,1
v,76561199816734617,1
